Order_ID,Order_Date,Customer_ID,Customer_Age,Customer_Gender,Region,Country,Category,Product_Name,Price,Quantity,Discount,Revenue,Profit,Payment_Method,
O00001,25-04-2023,C0052,65,Female,South,UK,Furniture,Desk,679.93,5.00,0.03,3297.66,677.60,Credit Card,
O00002,06-04-2023,C0448,32,Male,South,Australia,Office Supplies,Pen Set,454.72,3.00,0.24,1036.76,105.36,Debit Card,
O00003,08-03-2024,C0697,35,Male,South,India,Electronics,Laptop,386.13,3.00,0.25,868.79,218.01,Credit Card,
O00004,15-04-2024,C1099,25,Female,North,Canada,Clothing,Jacket,581.58,1.00,0.01,575.76,90.38,PayPal,
O00005,23-03-2023,C1752,32,Male,West,India,Office Supplies,Printer Paper,171.03,3.00,0.06,482.30,80.42,Credit Card,
O00006,25-06-2023,C1094,64,Male,South,Germany,Office Supplies,Printer Paper,989.63,5.00,0.07,4601.78,833.25,Credit Card,
O00007,23-08-2023,C1684,20,Female,West,India,Electronics,Smartphone,914.00,5.00,0.26,3381.80,604.22,Cash,
O00008,10-02-2024,C1812,59,Female,South,India,Furniture,Chair,747.54,5.00,0.08,3438.68,846.42,Cash,
O00009,06-01-2024,C0450,26,Female,North,USA,Electronics,Smartphone,631.17,4.00,0.18,2070.24,406.16,Cash,
O00010,15-09-2023,C1989,53,Male,North,Australia,Clothing,Jacket,120.44,4.00,0.05,457.67,46.14,PayPal,
O00011,27-05-2024,C1561,29,Male,East,Australia,Furniture,Chair,380.17,2.00,0.16,638.69,188.19,Credit Card,
O00012,28-11-2023,C1001,19,Male,East,India,Furniture,Desk,248.46,5.00,0.28,894.46,108.60,Cash,
O00013,12-03-2023,C1558,52,Male,South,Australia,Office Supplies,Pen Set,272.41,5.00,0.13,1184.98,181.24,Debit Card,
O00014,16-11-2023,C0818,60,Female,West,Canada,Office Supplies,Notebook,255.43,1.00,0.10,229.89,56.80,Debit Card,
O00015,14-08-2023,C0015,22,Male,South,USA,Electronics,Tablet,80.15,2.00,0.08,147.48,32.65,Debit Card,
O00016,29-04-2024,C0498,48,Female,South,USA,Electronics,Headphones,360.75,4.00,0.14,1240.98,350.29,Credit Card,
O00017,04-03-2023,C0825,64,Female,North,UK,Furniture,Chair,540.92,2.00,0.13,941.20,159.66,Debit Card,
O00018,19-03-2023,C0908,53,Male,North,Australia,Electronics,Laptop,927.10,2.00,0.05,1761.49,390.01,Debit Card,
O00019,15-02-2024,C1849,21,Male,West,USA,Office Supplies,Printer Paper,927.25,4.00,0.09,3375.19,925.30,Cash,
O00020,08-06-2023,C0389,36,Male,North,Canada,Electronics,Tablet,66.59,5.00,0.14,286.34,94.45,Debit Card,
O00021,28-02-2023,C1968,50,Male,South,USA,Electronics,Smartphone,409.74,5.00,0.07,1905.29,473.71,Credit Card,
O00022,05-03-2024,C1347,55,Female,East,UK,Clothing,Jeans,272.96,2.00,0.20,436.74,76.43,PayPal,
O00023,16-03-2023,C0020,47,Male,North,Canada,Furniture,Sofa,141.13,3.00,0.26,313.31,100.20,PayPal,
O00024,19-10-2023,C0324,46,Female,North,Australia,Clothing,T-Shirt,939.54,2.00,0.08,1728.75,557.40,Debit Card,
O00025,06-10-2023,C0578,56,Male,East,UK,Clothing,Shoes,258.61,1.00,0.03,250.85,51.65,PayPal,
O00026,15-02-2023,C0008,39,Male,East,UK,Office Supplies,Stapler,565.30,1.00,0.02,553.99,177.71,Debit Card,
O00027,06-02-2023,C1710,41,Male,West,UK,Electronics,Tablet,371.01,1.00,0.27,270.84,41.31,Debit Card,
O00028,16-04-2023,C0725,53,Female,South,UK,Furniture,Chair,882.60,1.00,0.05,838.47,277.64,Cash,
O00029,12-09-2023,C0547,28,Male,West,USA,Office Supplies,Pen Set,207.58,4.00,0.10,747.29,228.02,Debit Card,
O00030,17-08-2023,C0049,60,Male,West,India,Clothing,T-Shirt,967.22,3.00,0.11,2582.48,587.13,PayPal,
O00031,29-01-2023,C0237,34,Male,East,USA,Electronics,Headphones,352.23,3.00,0.13,919.32,318.14,Credit Card,
O00032,30-01-2024,C1843,54,Male,East,USA,Office Supplies,Notebook,524.72,5.00,0.21,2072.64,694.47,Debit Card,
O00033,08-01-2024,C0884,22,Female,East,Australia,Electronics,Tablet,512.05,4.00,0.10,1843.38,505.64,Debit Card,
O00034,16-07-2023,C0862,60,Female,South,Canada,Clothing,Shoes,552.46,1.00,0.09,502.74,76.69,PayPal,
O00035,21-04-2024,C0905,46,Male,West,Australia,Furniture,Desk,290.95,5.00,0.10,1309.28,398.81,Debit Card,
O00036,14-11-2023,C0461,30,Male,North,USA,Furniture,Cabinet,615.16,1.00,0.14,529.04,170.10,Debit Card,
O00037,29-01-2024,C1013,43,Male,South,Australia,Electronics,Laptop,780.64,2.00,0.05,1483.22,503.54,Cash,
O00038,21-02-2023,C1142,33,Male,West,UK,Office Supplies,Printer Paper,950.54,4.00,0.18,3117.77,872.41,Cash,
O00039,01-04-2024,C1838,28,Female,West,India,Furniture,Sofa,768.16,5.00,0.15,3264.68,521.73,Cash,
O00040,21-03-2023,C1462,36,Male,East,India,Clothing,T-Shirt,146.99,2.00,0.11,261.64,36.16,Debit Card,
O00041,07-03-2023,C0850,44,Female,West,Germany,Electronics,Smartphone,834.56,4.00,0.27,2436.92,599.53,Credit Card,
O00042,25-01-2024,C0977,18,Female,East,Germany,Office Supplies,Pen Set,493.35,3.00,0.13,1287.64,138.11,PayPal,
O00043,19-02-2024,C1484,28,Female,South,Canada,Electronics,Headphones,595.97,1.00,0.03,578.09,119.75,Cash,
O00044,06-07-2023,C0103,34,Female,East,UK,Office Supplies,Printer Paper,344.13,4.00,0.08,1266.40,427.79,Cash,
O00045,16-09-2023,C1710,23,Female,North,Australia,Electronics,Tablet,231.98,1.00,0.23,178.62,46.97,Credit Card,
O00046,11-09-2023,C0409,19,Male,South,UK,Office Supplies,Notebook,568.33,2.00,0.14,977.53,160.37,PayPal,
O00047,21-06-2023,C1241,56,Male,South,India,Electronics,Laptop,929.60,5.00,0.20,3718.40,1262.56,Cash,
O00048,23-07-2023,C0156,55,Male,North,Australia,Clothing,T-Shirt,798.26,5.00,0.23,3073.30,574.10,Cash,
O00049,15-01-2024,C0142,50,Female,North,Germany,Office Supplies,Notebook,439.19,3.00,0.19,1067.23,327.83,Debit Card,
O00050,21-03-2024,C0361,64,Female,West,Germany,Office Supplies,Printer Paper,329.08,2.00,0.25,493.62,60.06,Cash,
O00051,07-09-2023,C1537,47,Female,East,USA,Office Supplies,Printer Paper,190.02,2.00,0.11,338.24,55.67,PayPal,
O00052,10-10-2023,C1139,18,Male,North,UK,Office Supplies,Stapler,559.62,2.00,0.21,884.20,231.20,Cash,
O00053,03-04-2024,C1624,19,Male,East,UK,Office Supplies,Pen Set,313.14,5.00,0.11,1393.47,332.16,PayPal,
O00054,11-03-2024,C1528,53,Female,East,Australia,Office Supplies,Printer Paper,313.56,2.00,0.04,602.04,89.19,Credit Card,
O00055,09-07-2023,C0393,31,Female,East,Australia,Clothing,T-Shirt,834.30,3.00,0.07,2327.70,337.19,Credit Card,
O00056,10-05-2023,C0562,20,Male,East,Australia,Furniture,Cabinet,111.56,1.00,0.17,92.59,20.12,Cash,
